Data;CasosDia
2022-12-01;164
2022-12-02;147
2022-12-03;46
2022-12-04;25
2022-12-05;127
2022-12-06;246
2022-12-07;230
2022-12-08;149
2022-12-09;140
2022-12-10;57
2022-12-11;11
2022-12-12;197
2022-12-13;209
2022-12-14;194
2022-12-15;170
2022-12-16;155
2022-12-17;60
2022-12-18;36
2022-12-19;117
2022-12-20;156
2022-12-21;163
2022-12-22;102
2022-12-23;52
2022-12-24;27
2022-12-25;8
2022-12-26;160
2022-12-27;133
2022-12-28;116
2022-12-29;100
2022-12-30;39
2022-12-31;14
2023-01-01;2
2023-01-02;72
2023-01-03;75
2023-01-04;110
2023-01-05;60
2023-01-06;36
2023-01-07;13
2023-01-08;8
2023-01-09;65
2023-01-10;50
2023-01-11;29
2023-01-12;21
2023-01-13;22
2023-01-14;2
2023-01-15;1
2023-01-16;26
2023-01-17;26
2023-01-18;26
2023-01-19;47
2023-01-20;15
2023-01-21;1
2023-01-22;2
2023-01-23;22
2023-01-24;46
2023-01-25;16
2023-01-26;19
2023-01-27;10
2023-01-28;5
2023-01-29;5
2023-01-30;13
2023-01-31;13
2023-02-01;19
2023-02-02;10
2023-02-03;9
2023-02-04;1
2023-02-05;1
2023-02-06;13
2023-02-07;15
2023-02-08;17
2023-02-09;10
2023-02-10;15
2023-02-11;4
2023-02-12;2
2023-02-13;24
2023-02-14;10
2023-02-15;28
2023-02-16;24
2023-02-17;17
2023-02-18;2
2023-02-19;1
2023-02-20;5
2023-02-21;7
2023-02-22;19
2023-02-23;30
2023-02-24;17
2023-02-25;6
2023-02-26;8
2023-02-27;28
2023-02-28;12
2023-03-01;23
2023-03-02;19
2023-03-03;31
2023-03-04;3
2023-03-05;4
2023-03-06;35
2023-03-07;16
2023-03-08;20
2023-03-09;20
2023-03-10;34
2023-03-11;2
2023-03-12;13
2023-03-13;33
2023-03-14;29
2023-03-15;28
2023-03-16;14
2023-03-17;24
2023-03-18;16
2023-03-19;1
2023-03-20;24
2023-03-21;24
2023-03-22;29
2023-03-23;18
2023-03-24;7
2023-03-25;10
2023-03-26;2
2023-03-27;15
2023-03-28;15
2023-03-29;20
2023-03-30;10
2023-03-31;13
2023-04-01;2
2023-04-02;0
2023-04-03;17
2023-04-04;36
2023-04-05;24
2023-04-06;28
2023-04-07;13
2023-04-08;4
