Data;CasosDia;Temp. Ins. (C);Umi. Ins. (%);Chuva (mm);CasosDiasTarget
2022-07-19;155;19.297236481861734;67.50972507415013;4.453935660506502;107
2022-07-20;99;19.297236481861734;67.50972507415013;4.453935660506502;58
2022-07-21;23;19.297236481861734;67.50972507415013;4.453935660506502;81
2022-07-22;23;19.297236481861734;67.50972507415013;4.453935660506502;52
2022-07-23;83;19.297236481861734;67.50972507415013;4.453935660506502;107
2022-07-24;107;19.297236481861734;67.50972507415013;4.453935660506502;15
2022-07-25;58;19.297236481861734;67.50972507415013;4.453935660506502;114
2022-07-26;81;19.297236481861734;67.50972507415013;4.453935660506502;73
2022-07-27;52;19.297236481861734;67.50972507415013;4.453935660506502;89
2022-07-28;107;19.297236481861734;67.50972507415013;4.453935660506502;78
2022-07-29;15;19.297236481861734;67.50972507415013;4.453935660506502;63
2022-07-30;114;19.297236481861734;67.50972507415013;4.453935660506502;19
2022-07-31;73;9.858333333333333;18.83333333333333;4.453935660506502;8
2022-08-01;89;20.416666666666668;55.083333333333336;4.453935660506502;81
2022-08-02;78;20.729166666666668;57.375;4.453935660506502;71
2022-08-03;63;13.8;67.54166666666667;6.0;75
2022-08-04;19;10.9;64.58333333333333;4.453935660506502;118
2022-08-05;8;14.3875;57.66666666666666;4.453935660506502;107
2022-08-06;81;18.78333333333333;59.41666666666666;4.453935660506502;19
2022-08-07;71;20.5875;58.04166666666666;0.4;20
2022-08-08;75;21.429166666666664;53.333333333333336;4.453935660506502;105
2022-08-09;118;18.741666666666667;62.75;0.2;89
2022-08-10;107;13.2;80.625;0.2;77
2022-08-11;19;13.133333333333333;77.5;2.6;72
2022-08-12;20;14.5625;93.75;76.8;76
2022-08-13;105;17.308333333333334;86.41666666666667;4.6;21
2022-08-14;89;13.354166666666666;92.04166666666669;0.4;7
2022-08-15;77;9.583333333333334;85.33333333333333;6.8;87
2022-08-16;72;11.883333333333333;70.54166666666667;4.453935660506502;44
2022-08-17;76;13.35;69.41666666666667;4.453935660506502;72
2022-08-18;21;15.879166666666668;63.458333333333336;4.453935660506502;43
2022-08-19;7;19.066666666666663;54.583333333333336;4.453935660506502;44
2022-08-20;87;21.10833333333333;50.5;4.453935660506502;13
2022-08-21;44;16.462500000000002;81.58333333333333;41.0;4
2022-08-22;72;14.116666666666667;94.5;4.2;45
2022-08-23;43;14.191666666666668;87.125;30.0;42
2022-08-24;44;6.179166666666667;61.91666666666666;4.453935660506502;52
2022-08-25;13;9.383333333333333;54.375;4.453935660506502;44
2022-08-26;4;14.583333333333334;70.25;4.453935660506502;29
2022-08-27;45;16.820833333333333;72.20833333333333;4.453935660506502;13
2022-08-28;42;17.633333333333333;67.95833333333333;4.453935660506502;5
2022-08-29;52;18.241666666666667;59.16666666666666;4.453935660506502;45
2022-08-30;44;19.29583333333333;55.708333333333336;4.453935660506502;47
2022-08-31;29;19.695833333333333;58.66666666666666;4.453935660506502;20
2022-09-01;13;20.466666666666665;51.54166666666666;4.453935660506502;21
2022-09-02;5;19.820833333333333;56.833333333333336;4.453935660506502;14
2022-09-03;45;14.325;61.29166666666666;4.453935660506502;4
2022-09-04;47;12.6375;59.458333333333336;4.453935660506502;8
2022-09-05;20;14.341666666666669;66.54166666666667;4.453935660506502;24
2022-09-06;21;18.679166666666667;63.79166666666666;4.453935660506502;16
2022-09-07;14;18.191666666666663;73.375;3.8;2
2022-09-08;4;14.675;81.0;5.800000000000001;7
2022-09-09;8;13.775;61.333333333333336;0.2;10
2022-09-10;24;13.075;86.75;5.2;1
2022-09-11;16;12.820833333333333;90.33333333333331;14.6;0
2022-09-12;2;16.245833333333334;80.5;23.2;9
2022-09-13;7;21.6;66.08333333333333;4.453935660506502;13
2022-09-14;10;23.079166666666666;63.91666666666666;7.0;4
2022-09-15;1;16.354166666666668;76.91666666666667;4.453935660506502;6
2022-09-16;0;17.320833333333333;63.708333333333336;4.453935660506502;1
2022-09-17;9;17.087500000000002;85.70833333333333;14.0;2
2022-09-18;13;16.808333333333334;86.58333333333333;7.6;0
2022-09-19;4;15.05;84.125;9.4;4
2022-09-20;6;16.912499999999998;64.5;4.453935660506502;7
2022-09-21;1;17.216666666666665;65.66666666666667;4.453935660506502;5
2022-09-22;2;16.120833333333334;60.04166666666666;4.453935660506502;2
2022-09-23;0;16.808333333333334;52.875;4.453935660506502;5
2022-09-24;4;15.3;73.95833333333333;44.6;0
2022-09-25;7;17.433333333333334;76.08333333333333;0.2;0
2022-09-26;5;16.570833333333333;88.875;37.2;6
2022-09-27;2;15.654166666666669;78.54166666666667;0.2;3
2022-09-28;5;10.6625;63.04166666666666;4.453935660506502;0
2022-09-29;0;15.066666666666665;50.333333333333336;4.453935660506502;4
2022-09-30;0;15.295833333333334;72.875;26.6;7
2022-10-01;6;14.166666666666666;93.66666666666669;45.6;0
2022-10-02;3;15.308333333333332;91.33333333333331;17.0;0
2022-10-03;0;15.5875;89.41666666666667;1.2;5
2022-10-04;4;15.441666666666668;81.29166666666667;4.4;2
2022-10-05;7;16.766666666666666;77.95833333333333;2.8;3
2022-10-06;0;17.595833333333335;81.5;1.4;0
2022-10-07;0;20.1;64.625;4.453935660506502;0
2022-10-08;5;20.09583333333333;55.91666666666666;4.453935660506502;0
2022-10-09;2;21.17083333333333;49.125;4.453935660506502;0
2022-10-10;3;19.0875;66.08333333333333;13.6;1
2022-10-11;0;16.745833333333334;87.54166666666667;33.4;2
2022-10-12;0;15.233333333333334;77.375;0.4;0
2022-10-13;0;16.833333333333332;59.083333333333336;4.453935660506502;1
2022-10-14;0;19.591666666666665;57.25;4.453935660506502;1
2022-10-15;1;17.420833333333334;84.54166666666667;22.0;1
2022-10-16;2;15.079166666666666;90.66666666666669;104.0;2
2022-10-17;0;14.770833333333334;93.16666666666669;1.6;3
2022-10-18;1;18.945833333333333;83.33333333333333;31.6;3
2022-10-19;1;18.620833333333334;84.58333333333333;28.0;1
2022-10-20;1;19.29583333333333;75.95833333333333;0.4;1
2022-10-21;2;19.52083333333333;78.375;4.4;0
2022-10-22;3;19.1875;60.0;4.453935660506502;0
2022-10-23;3;19.55;80.20833333333333;19.200000000000003;0
2022-10-24;1;21.1125;77.58333333333333;4.453935660506502;1
2022-10-25;1;16.370833333333334;90.58333333333331;151.4;1
2022-10-26;0;18.03333333333333;79.83333333333333;0.8;3
2022-10-27;0;18.15;74.0;4.453935660506502;0
2022-10-28;0;21.97083333333333;60.458333333333336;4.453935660506502;1
2022-10-29;1;23.570833333333336;47.25;4.453935660506502;0
2022-10-30;1;24.0375;44.625;4.453935660506502;0
2022-10-31;3;23.933333333333334;50.66666666666666;4.453935660506502;2
2022-11-01;0;22.516666666666666;59.833333333333336;4.453935660506502;7
2022-11-02;1;23.429166666666664;63.5;4.453935660506502;0
2022-11-03;0;22.4;67.45833333333333;4.453935660506502;4
2022-11-04;0;18.779166666666665;85.41666666666667;42.2;1
2022-11-05;2;17.212500000000002;89.79166666666667;39.8;1
2022-11-06;7;10.670833333333334;77.83333333333333;4.453935660506502;0
2022-11-07;0;11.9625;59.54166666666666;4.453935660506502;6
2022-11-08;4;15.716666666666669;56.833333333333336;4.453935660506502;1
2022-11-09;1;17.4375;52.66666666666666;4.453935660506502;7
2022-11-10;1;18.916666666666668;50.25;4.453935660506502;9
2022-11-11;0;19.65;49.0;4.453935660506502;15
2022-11-12;6;19.058333333333334;50.5;4.453935660506502;8
2022-11-13;1;19.7;45.5;4.453935660506502;5
2022-11-14;7;21.59166666666667;40.208333333333336;4.453935660506502;9
2022-11-15;9;23.53333333333333;38.333333333333336;4.453935660506502;10
2022-11-16;15;19.2125;73.95833333333333;3.0;24
2022-11-17;8;20.766666666666666;76.83333333333333;0.2;31
2022-11-18;5;18.3125;86.75;55.0;50
2022-11-19;9;19.070833333333333;78.79166666666667;4.800000000000001;25
2022-11-20;10;18.404166666666665;57.91666666666666;4.453935660506502;20
2022-11-21;24;19.933333333333334;52.125;4.453935660506502;74
2022-11-22;31;21.504166666666663;50.208333333333336;4.453935660506502;79
2022-11-23;50;21.65833333333333;43.0;4.453935660506502;85
2022-11-24;25;21.8375;48.333333333333336;4.453935660506502;122
2022-11-25;20;22.1875;61.91666666666666;4.453935660506502;117
2022-11-26;74;21.975;70.58333333333333;4.453935660506502;30
2022-11-27;79;19.758333333333333;83.20833333333333;16.8;18
2022-11-28;85;21.066666666666663;77.375;4.453935660506502;119
2022-11-29;122;20.816666666666663;64.5;4.453935660506502;149
2022-11-30;117;22.391666666666666;59.5;4.453935660506502;178
2022-12-01;30;21.5875;63.583333333333336;4.453935660506502;164
2022-12-02;18;21.925;70.375;11.2;147
2022-12-03;119;21.504166666666663;70.83333333333333;0.8;46
2022-12-04;149;22.504166666666663;66.20833333333333;4.453935660506502;25
2022-12-05;178;21.7375;72.0;4.453935660506502;127
2022-12-06;164;21.39583333333333;70.95833333333333;4.453935660506502;246
2022-12-07;147;22.7125;74.83333333333333;3.2;230
2022-12-08;46;22.370833333333334;79.29166666666667;4.453935660506502;149
2022-12-09;25;23.59583333333333;80.16666666666667;28.6;140
2022-12-10;127;22.129166666666663;78.5;4.453935660506502;57
2022-12-11;246;25.004166666666663;77.95833333333333;4.453935660506502;11
2022-12-12;230;25.054166666666664;75.875;4.453935660506502;197
2022-12-13;149;25.64583333333333;76.33333333333333;4.453935660506502;209
2022-12-14;140;25.77083333333333;78.0;4.453935660506502;194
2022-12-15;57;25.004166666666663;73.25;4.453935660506502;170
2022-12-16;11;23.258333333333336;87.95833333333333;65.0;155
2022-12-17;197;23.8375;82.83333333333333;4.453935660506502;60
2022-12-18;209;23.6125;77.95833333333333;9.6;36
2022-12-19;194;20.604166666666668;66.75;4.453935660506502;117
2022-12-20;170;22.070833333333336;72.29166666666667;4.453935660506502;156
